id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1296505023715774465,1296145076050165762,1597945860000,2020-08-20,17:51:00,UTC,170035805,_alide_,ALIDE,,"#BuenasPrácticas
#BDMG Hubble Hub 🇧🇷 fomenta ecosistemas innovación y promueve vinculación de #startups con sectores público y privado. El programa genera conexiones, permitiendo el intercambio de experiencias e ideas en el sector financiero. 
👉  https://bit.ly/2YhU0b1  pic.twitter.com/pr4wap4n1k","['fira_mexico', 'banobras_mx', 'imprensabnb', 'cajadeahorrospa', 'banruralgt', 'indiaeximbank', 'selainforma', 'cemla']",['https://bit.ly/2YhU0b1'],['https://pbs.twimg.com/media/Ef4OdEtWAAAVFMS.jpg'],0,0,0,"['#buenasprácticas', '#bdmg', '#startups']",[],https://twitter.com/_ALIDE_/status/1296505023715774465,False,,0,,,,,,,"[{'user_id': '170035805', 'username': '_ALIDE_'}, {'user_id': '214687697', 'username': 'FIRA_Mexico'}, {'user_id': '274129946', 'username': 'Banobras_mx'}, {'user_id': '217120621', 'username': 'ImprensaBNB'}, {'user_id': '436823720', 'username': 'CajadeAhorrosPA'}, {'user_id': '2858848713', 'username': 'banruralgt'}, {'user_id': '65680998', 'username': 'IndiaEximBank'}, {'user_id': '143851629', 'username': 'SELAInforma'}, {'user_id': '18172175', 'username': 'CEMLA'}]",,,,
1296503697166471182,1296503697166471182,1597945543000,2020-08-20,17:45:43,UTC,1094648169445568512,baystreetdiary,baystreetdiary,,#teamwork #content #contentisking #dreambig #strategy #competition #thinkbig #profit #workhard #ntrepreneur #imagination #business #idea #toronto #startup #motivation #strategy #goals #inspiration #thesix #6buzz…  https://www.instagram.com/p/CEHreuGBzDS/?igshid=88oo5d672yje …,[],['https://www.instagram.com/p/CEHreuGBzDS/?igshid=88oo5d672yje'],[],0,0,0,"['#teamwork', '#content', '#contentisking', '#dreambig', '#strategy', '#competition', '#thinkbig', '#profit', '#workhard', '#ntrepreneur', '#imagination', '#business', '#idea', '#toronto', '#startup', '#motivation', '#strategy', '#goals', '#inspiration', '#thesix', '#6buzz']",[],https://twitter.com/baystreetdiary/status/1296503697166471182,False,,0,,,,,,,"[{'user_id': '1094648169445568512', 'username': 'baystreetdiary'}]",,,,
1296502705784082432,1296502705784082432,1597945307000,2020-08-20,17:41:47,UTC,373883201,vladobotsvadze,Vladimer Botsvadze,,"Where are the big ideas? 

Big ideas are where few go fishing. 

#leadership #startups #ideation #innovation #tech #entrepreneurship pic.twitter.com/vb73I9SZQd",[],[],['https://pbs.twimg.com/media/Ef4aTRUWAAAlVSk.jpg'],0,3,4,"['#leadership', '#startups', '#ideation', '#innovation', '#tech', '#entrepreneurship']",[],https://twitter.com/VladoBotsvadze/status/1296502705784082432,False,,0,,,,,,,"[{'user_id': '373883201', 'username': 'VladoBotsvadze'}]",,,,
1296502638867972096,1296502638867972096,1597945291000,2020-08-20,17:41:31,UTC,2794251258,naresh_sunkara,Naresh Sunkara Ph.D.,,"Check out today's @BPEPUCB @BerkeleyPostdoc @UCBerkeley  workshop on ""Idea Evaluation - Lab To Market"". If you have an idea from your lab research, what do you need to consider to launch a startup? It is online! So, Everyone can learn! Login at 4.30 pm PDT  https://www.eventbrite.com/e/idea-evaluation-lab-to-market-bpep-august-2020-tickets-115754170841 …","['bpepucb', 'berkeleypostdoc', 'ucberkeley']",['https://www.eventbrite.com/e/idea-evaluation-lab-to-market-bpep-august-2020-tickets-115754170841'],[],0,0,0,[],[],https://twitter.com/naresh_sunkara/status/1296502638867972096,False,,0,,,,,,,"[{'user_id': '2794251258', 'username': 'naresh_sunkara'}, {'user_id': '1016885700', 'username': 'BPEPUCB'}, {'user_id': '718955981061890048', 'username': 'BerkeleyPostdoc'}, {'user_id': '176932593', 'username': 'UCBerkeley'}]",,,,
1296500187897237504,1296076545770041350,1597944707000,2020-08-20,17:31:47,UTC,116384946,gilleyish,gilley,,"Hey Brian, startup idea for ya: GoDefraudMe!","['briankolfage', 'webuildthewall', 'gofundme', 'fundrazr', 'anncoulter']",[],[],0,0,0,[],[],https://twitter.com/gilleyish/status/1296500187897237504,False,,0,,,,,,,"[{'user_id': '116384946', 'username': 'gilleyish'}, {'user_id': '3264769360', 'username': 'BrianKolfage'}, {'user_id': '1079458652136898560', 'username': 'WeBuildtheWall'}, {'user_id': '112897540', 'username': 'gofundme'}, {'user_id': '18169768', 'username': 'FundRazr'}, {'user_id': '196168350', 'username': 'AnnCoulter'}]",,,,
1296499739899305985,1296499739899305985,1597944600000,2020-08-20,17:30:00,UTC,1253977285054562304,todoactual1,Todoactual,,"¿Startup o Pyme?: Diferencias más representativas entre cada una 2020.
#todoactual #todoactualrevista #revistatodoactual #pymes #startup #negocio #idea #learnstartup #emprendedores #emprendimiento #emprender #negocios #finanzas #economia #empresas
 https://todoactual.com/art%C3%ADculo/startup-o-pyme-diferencias-m%C3%A1s-representativas-entre-cada-una-2020 …",[],['https://todoactual.com/art%C3%ADculo/startup-o-pyme-diferencias-m%C3%A1s-representativas-entre-cada-una-2020'],[],0,0,0,"['#todoactual', '#todoactualrevista', '#revistatodoactual', '#pymes', '#startup', '#negocio', '#idea', '#learnstartup', '#emprendedores', '#emprendimiento', '#emprender', '#negocios', '#finanzas', '#economia', '#empresas']",[],https://twitter.com/Todoactual1/status/1296499739899305985,False,,0,,,,,,,"[{'user_id': '1253977285054562304', 'username': 'Todoactual1'}]",,,,
1296499471254265858,1296457632501440514,1597944536000,2020-08-20,17:28:56,UTC,2611928724,1mikaelams,Mikaela  M. Schwartz,,"I imagine both, the article I read was mostly just discussing if nuclear startups were a good idea or if smaller plants with less fuel should have fewer regulations.","['code860', 'osourcerer', 'jediofgallifrey']",[],[],1,0,0,[],[],https://twitter.com/1mikaelams/status/1296499471254265858,False,,0,,,,,,,"[{'user_id': '2611928724', 'username': '1mikaelams'}, {'user_id': '334384372', 'username': 'code860'}, {'user_id': '1141577131677409285', 'username': 'OSourcerer'}, {'user_id': '3409354083', 'username': 'JediofGallifrey'}]",,,,
1296498748856573954,1296498748856573954,1597944364000,2020-08-20,17:26:04,UTC,20962239,dhavalyours,Dhaval,,"When it comes to ideas, it's efficient to test 10 bad ones than spend days trying to come up with something perfect.

#startups #100DaysOfCloud #productivitytip #product #startuplife #ideas",[],[],[],0,2,2,"['#startups', '#100daysofcloud', '#productivitytip', '#product', '#startuplife', '#ideas']",[],https://twitter.com/dhavalyours/status/1296498748856573954,False,,0,,,,,,,"[{'user_id': '20962239', 'username': 'dhavalyours'}]",,,,
1296498711196061703,1296457632501440514,1597944355000,2020-08-20,17:25:55,UTC,334384372,code860,code860,,"These startups you mentioned are they dealing with fission or fusion based plants? I know the Republicans are pushing this ""we need more nuclear"" notion. But they want to do fission based plants on the cheap. If you're familiar with Chernobyl you'd know thats a terrible idea.","['1mikaelams', 'osourcerer', 'jediofgallifrey']",[],[],1,0,0,[],[],https://twitter.com/code860/status/1296498711196061703,False,,0,,,,,,,"[{'user_id': '334384372', 'username': 'code860'}, {'user_id': '2611928724', 'username': '1mikaelams'}, {'user_id': '1141577131677409285', 'username': 'OSourcerer'}, {'user_id': '3409354083', 'username': 'JediofGallifrey'}]",,,,
1296498710830911488,1296498710830911488,1597944355000,2020-08-20,17:25:55,UTC,121460847,rahulkhachane,Rahul Khachane,,"Reliance Industries Limited can start exclusive business unit in Venture Capital Funding Industry. ( That seems good idea looking at the aggressive take over of startups)
In fact in this pressing times it is helping Indian startups to do well in terms of funding.",[],[],[],0,0,0,[],[],https://twitter.com/rahulkhachane/status/1296498710830911488,False,,0,,,,,,,"[{'user_id': '121460847', 'username': 'rahulkhachane'}]",,,,
